timestamp,sensor_id,temperature,humidity
2026-09-20 10:00:00,SENSOR-01,24.8,61.2
2026-09-20 10:01:00,SENSOR-01,25.1,60.8
2026-09-20 10:02:00,SENSOR-01,25.4,60.1
2026-09-20 10:03:00,SENSOR-01,26.0,59.7
2026-09-20 10:04:00,SENSOR-01,26.5,59.2
2026-09-20 10:05:00,SENSOR-01,27.1,58.9
2026-09-20 10:06:00,SENSOR-01,27.8,58.4
2026-09-20 10:07:00,SENSOR-01,28.4,57.8
2026-09-20 10:08:00,SENSOR-01,29.1,57.3
2026-09-20 10:09:00,SENSOR-01,30.2,56.8
2026-09-20 10:10:00,SENSOR-01,31.0,56.1
2026-09-20 10:11:00,SENSOR-01,30.6,56.5
2026-09-20 10:12:00,SENSOR-01,29.8,57.2
2026-09-20 10:13:00,SENSOR-01,28.9,58.0
2026-09-20 10:14:00,SENSOR-01,27.6,59.1
